fontgroupsdataset\griechisch_Griechisch- Nuernberg- Adelbulner u Endter- 1700- VD17 3605394X.jpg,greek,,,,,
fontgroupsdataset\griechisch_Griechisch- Leipzig- Ellinger- 1622- VD17 23281344Q.jpg,greek,,,,,
fontgroupsdataset\griechisch_Griechisch- Leipzig- Fritsch- 1794- VD18 1036322X.jpg,greek,,,,,
fontgroupsdataset\bsb11193361_10.jpg,greek,,,,,
fontgroupsdataset\bsb10993935_15.jpg,greek,,,,,
fontgroupsdataset\bsb10169768_16.jpg,greek,,,,,
fontgroupsdataset\bsb11060655_18.jpg,greek,,,,,
fontgroupsdataset\bsb10170288_11.jpg,greek,antiqua,,,,
fontgroupsdataset\bsb10139628_11.jpg,greek,not_a_font,antiqua,,,
fontgroupsdataset\bsb10150324_12.jpg,greek,,,,,
fontgroupsdataset\bsb10169571_13.jpg,greek,,,,,
fontgroupsdataset\bsb10195478_16.jpg,greek,,,,,
fontgroupsdataset\bsb10150637_17.jpg,greek,,,,,
fontgroupsdataset\bsb10994621_14.jpg,greek,,,,,
fontgroupsdataset\bsb10139615_11.jpg,greek,,,,,
fontgroupsdataset\bsb10524529_17.jpg,greek,,,,,
fontgroupsdataset\bsb10994610_16.jpg,greek,,,,,
fontgroupsdataset\bsb11204061_11.jpg,greek,,,,,
fontgroupsdataset\bsb10150391_16.jpg,greek,,,,,
fontgroupsdataset\bsb11217116_10.jpg,greek,,,,,
fontgroupsdataset\bsb10169451_18.jpg,greek,,,,,
fontgroupsdataset\bsb10244133_14.jpg,greek,antiqua,,,,
fontgroupsdataset\bsb11217304_13.jpg,greek,,,,,
fontgroupsdataset\bsb11273490_15.jpg,greek,,,,,
fontgroupsdataset\bsb10238813_11.jpg,greek,,,,,
fontgroupsdataset\bsb11089085_14.jpg,greek,other_font,,,,
fontgroupsdataset\bsb10150944_13.jpg,greek,,,,,
fontgroupsdataset\bsb11217107_19.jpg,greek,,,,,
fontgroupsdataset\bsb10170793_16.jpg,greek,antiqua,,,,
fontgroupsdataset\bsb10169392_10.jpg,greek,,,,,
fontgroupsdataset\bsb10199194_11.jpg,greek,,,,,
fontgroupsdataset\bsb11010003_15.jpg,greek,,,,,
fontgroupsdataset\bsb10138738_19.jpg,greek,,,,,
fontgroupsdataset\bsb10994621_17.jpg,greek,,,,,
fontgroupsdataset\bsb10205722_15.jpg,greek,,,,,
fontgroupsdataset\bsb10980911_12.jpg,greek,,,,,
fontgroupsdataset\bsb10994612_15.jpg,greek,other_font,,,,
fontgroupsdataset\bsb11263626_18.jpg,greek,,,,,
fontgroupsdataset\bsb11054143_18.jpg,greek,antiqua,,,,
fontgroupsdataset\bsb10994174_16.jpg,greek,antiqua,,,,
fontgroupsdataset\bsb10174580_19.jpg,greek,italic,,,,
fontgroupsdataset\bsb10860881_14.jpg,greek,other_font,,,,
fontgroupsdataset\bsb10139766_18.jpg,greek,other_font,,,,
fontgroupsdataset\bsb11217142_14.jpg,greek,,,,,
fontgroupsdataset\bsb10831957_18.jpg,greek,italic,antiqua,,,
fontgroupsdataset\bsb10169633_17.jpg,greek,,,,,
fontgroupsdataset\bsb11286145_11.jpg,greek,,,,,
fontgroupsdataset\bsb10186168_10.jpg,greek,antiqua,,,,
fontgroupsdataset\bsb10215782_13.jpg,greek,,,,,
fontgroupsdataset\bsb11263982_18.jpg,greek,antiqua,,,,
fontgroupsdataset\bsb11166093_10.jpg,greek,antiqua,,,,
fontgroupsdataset\bsb10994168_17.jpg,greek,,,,,
fontgroupsdataset\bsb11220039_14.jpg,greek,,,,,
fontgroupsdataset\bsb10215331_11.jpg,greek,,,,,
fontgroupsdataset\bsb11116071_17.jpg,greek,,,,,
fontgroupsdataset\bsb10234260_18.jpg,greek,,,,,
fontgroupsdataset\bsb10566260_16.jpg,greek,,,,,
fontgroupsdataset\bsb10170790_17.jpg,greek,,,,,
fontgroupsdataset\bsb10070611_17.jpg,greek,,,,,
fontgroupsdataset\bsb11204061_19.jpg,greek,,,,,
